Entered DemOn,URN,Day,Month,Year,Site code,County code,Cap time,Ring no,Type,Cohort,Age,Sex,Plum,Wing ini,Wing,Wing Pt,Tars (& toe),Bill,THL,Wht,Time,Moult,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Scheme,Ring No,Age (days),Code,LA,LB,RA,RB,Comments
Y,1,10,06,2021,Pensthorpe,GBNOR,,FA95501,H,,3,,,NAC,150,,,43.8,83.1,370.0,1430,,,,,,,,,,,,,,25,0A,YFN(0A)O,,Y,M,
Y,2,10,06,2021,Pensthorpe,GBNOR,,FA95502,H,,3,,,NAC,166,,,45.5,86.2,350.0,1440,,,,,,,,,,,,,,29,0C,YFN(0C)O,,Y,M,
<<<<<<< HEAD
Ring destroyed,,,,,,,,FA95503,,,3,,,NAC,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
=======
,3,,,,,Ring destroyed,,FA95503,,,3,,,NAC,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
>>>>>>> 4e6e453704612065faf22e9f71c67b6cf3c35d58
Y,4,10,06,2021,Pensthorpe,GBNOR,,FA95504,H,,3,,,NAC,193,,,56.8,100.4,520.0,1450,,,,,,,,,,,,,,29,0E,YFN(0E)O,,Y,M,
Y,5,10,06,2021,Pensthorpe,GBNOR,,FA95505,H,,3,,,NAC,179,,,55.6,96.7,455.0,1500,,,,,,,,,,,,,,20,0J,YFN(0J)O,,Y,M,
Y,6,10,06,2021,Pensthorpe,GBNOR,,FA95506,H,,3,,,JAC,114,,,42.6,86.0,310.0,1510,,,,,,,,,,,,,,23,0K,YFN(0K)O,,Y,M,
Y,7,10,06,2021,Pensthorpe,GBNOR,,FA95507,H,,3,,,NAC,133,,,43.3,84.1,290.0,1518,,,,,,,,,,,,,,25,0L,YFN(0L)O,,Y,M,
Y,8,10,06,2021,Pensthorpe,GBNOR,,FA95508,H,,3,,,NAC,97,,,43.4,83.1,270.0,1526,,,,,,,,,,,,,,22,0N,YFN(0N)O,,Y,M,
Y,9,10,06,2021,Pensthorpe,GBNOR,,FA95509,H,,3,,,NAC,142,,,48.1,86.9,340.0,1530,,,,,,,,,,,,,,25,0U,YFN(0U)O,,Y,M,
